Name,Precision,Recall,F1,Accuracy
Logistic Regression,0.6987951807228916,0.7837837837837838,0.7388535031847134,0.7266666666666667
SVM,0.7058823529411765,0.8108108108108109,0.7547169811320755,0.74
Multilayer Perceptron,0.7142857142857143,0.8108108108108109,0.759493670886076,0.7466666666666667
